,loan_amnt,int_rate,installment,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,term_ 36 months,term_ 60 months,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation
3045,20000.0,14.74,690.77,10,145000.0,1,5.26,1.0,3.0,10.0,0.0,5697.0,41.3,13.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3110,9000.0,13.08,303.6,8,100000.0,1,2.86,0.0,2.0,14.0,0.0,4786.0,13.1,25.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3211,16500.0,12.4,551.2,6,97000.0,1,31.2,0.0,2.0,10.0,1.0,7441.0,36.1,12.0,1.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3307,3000.0,8.19,94.28,10,105000.0,1,22.75,3.0,2.0,33.0,0.0,9791.0,6.7,56.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3313,11000.0,17.19,393.23,0,62000.0,1,19.26,1.0,2.0,17.0,0.0,7004.0,17.8,33.0,0.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3408,20000.0,20.0,743.28,0,114146.0,1,6.93,0.0,0.0,6.0,0.0,4053.0,36.8,9.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3457,40000.0,8.19,814.7,6,176000.0,1,8.99,1.0,0.0,13.0,0.0,38014.0,26.6,31.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3474,29500.0,14.74,697.79,10,80000.0,1,33.38,0.0,0.0,15.0,0.0,22414.0,53.0,52.0,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3477,12600.0,7.02,389.17,10,50000.0,1,10.01,0.0,0.0,6.0,0.0,3972.0,45.1,13.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3683,10000.0,11.02,217.53,4,94000.0,1,14.06,0.0,0.0,10.0,0.0,5099.0,16.9,28.0,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3738,20000.0,6.46,612.62,2,51000.0,1,8.52,0.0,0.0,7.0,0.0,11955.0,32.8,14.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3865,10000.0,14.74,236.54,7,75000.0,1,2.58,0.0,1.0,11.0,1.0,1597.0,6.8,21.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3869,20000.0,14.74,473.08,10,85000.0,1,7.51,0.0,1.0,11.0,0.0,2899.0,13.4,20.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3951,18000.0,11.71,595.37,1,48500.0,1,25.49,0.0,0.0,18.0,0.0,5343.0,36.6,22.0,0.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3970,1000.0,8.19,31.43,10,65000.0,1,15.51,0.0,0.0,10.0,0.0,13796.0,85.2,31.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4012,17000.0,13.08,387.5,5,32000.0,1,70.93,0.0,2.0,9.0,0.0,8867.0,27.3,20.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4059,20000.0,13.9,464.33,0,0.0,1,16.58,0.0,0.0,9.0,0.0,16883.0,47.6,22.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4077,1100.0,20.0,40.88,5,27000.0,1,36.98,1.0,1.0,11.0,1.0,1840.0,18.8,26.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4078,2400.0,20.0,89.2,10,45000.0,1,66.11,0.0,0.0,17.0,0.0,23829.0,86.7,61.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4085,22000.0,8.19,691.33,1,103000.0,1,17.48,0.0,0.0,24.0,0.0,17072.0,58.1,44.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4121,5000.0,15.57,174.73,3,48720.0,1,27.88,0.0,1.0,22.0,0.0,13445.0,34.5,90.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4133,10000.0,8.19,314.25,0,65000.0,1,16.43,0.0,0.0,12.0,0.0,6229.0,21.6,22.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
